id,# of genres,# of production companies,production countries,number of production countries,Oversea Status,release year,release quarter,# of keywords,# of cast,gender distribution for cast,actor name,# of crew,gender distribution for crew,budget,homepage,imdbid,popularity,runtime,tagline
3001,4,0,"['JP', 'US']",2,1,07,3,2,7,"[(4, 3, 0)]","CraigBlair,EmilyBauer,SarahNatochenny,Ikue,BillRogers,JoshuaSwanson,BillTimoney",2,"[(1, 0, 1)]",0,http://www.pokemon.com/us/movies/movie-pokemon-the-rise-of-darkrai-2008/,tt1226251,3.851534,90,Somewhere Between Time & Space... A Legend Is Born.
3002,2,1,['US'],1,0,58,2,8,10,"[(6, 2, 2)]","AllisonHayes,WilliamHudson,YvetteVickers,RoyGordon,GeorgeDouglas,OttoWaldis,EileenStevens,MichaelRoss,FrankChase,KenTerrell",8,"[(2, 0, 6)]",88000,,tt0051380,3.559789,65,A titanic beauty spreads a macabre wave of horror! A terrifying masterpiece of shock and chills!
3003,2,3,['US'],1,0,97,2,4,9,"[(0, 4, 5)]","MegRyan,MatthewBroderick,KellyPreston,Tch,MaureenStapleton,NesbittBlaisdell,RemakRamsay,LeeWilkof,SusanForristal",10,"[(5, 2, 3)]",0,,tt0118556,8.085194,100,A Comedy About Lost Loves And Last Laughs
3004,3,3,"['CA', 'FR']",2,1,10,3,15,23,"[(15, 3, 5)]","LubnaAzabal,M,MaximGaudette,R,AllenAltman,AbdelghafourElaaziz,DominiqueBriand,Fr,AhmadMassad,JohnDunnHill,JackieSawiris,LaraAtalla,BayaBelal,YousefShweihat,KarimBabin,MohamedMajd,MustafaKamel,HusseinSami,HamedNajem,BaderAlami,MajidaHussein,AsriahNijres,NadiaEssadiqi",69,"[(53, 5, 11)]",6800000,http://www.sonyclassics.com/incendies/,tt1255953,8.596012,130,The search began at the opening of their mother's will.
3005,2,0,['US'],1,0,05,1,5,4,"[(0, 0, 4)]","DennisHopper,PeterBart,WarrenBeatty,CarlBernstein",14,"[(3, 1, 10)]",2000000,,tt0418753,3.21768,92,It was filmed in 6 days for 25 thousand dollars. The government didn't want you to see it. It was banned in 23 states. It has grossed over 600 million dollars. And it is the most profitable film in motion picture history.
3006,2,2,['US'],1,0,96,1,1,9,"[(1, 3, 5)]","JayceBartok,AmieCarey,NickyKatt,AjayNaidu,ParkerPosey,GiovanniRibisi,SamiaShoaib,SteveZahn,DinaSpybeyWaters",3,"[(0, 0, 3)]",0,,tt0120238,8.67935,121,
3007,3,4,['DE'],1,1,10,4,3,25,"[(11, 5, 9)]","SophieRois,SebastianSchipper,DevidStriesow,AnnedoreKleist,AlexanderH,WinnieB,HansUweBauer,PeterBenedict,GeorgetteDee,CedricEich,ChristopherKarlHemeyer,HansHohlbein,SentaDorotheaKirschner,ThomasKornmann,GotthardLange,AlexanderScheer,GundiAnnaSchick,KarlAlexanderSeidel,MickSlaney,HannesWegener,AlexanderYassin,MartinaYsker,MichaelDorn,AngelaWinkler,ChristinaGro",2,"[(0, 0, 2)]",0,,tt1517177,4.898882,119,Imagine the possibilities.
3008,2,1,['US'],1,0,00,1,7,8,"[(0, 1, 7)]","JimCummings,NikitaHopkins,KenSansom,JohnFiedler,PeterCullen,AndreStojka,KathSoucie,TomAttenborough",30,"[(20, 1, 9)]",30000000,http://www.tigger.com,tt0220099,7.023414,77,
3009,2,4,"['GB', 'US']",2,1,07,1,14,18,"[(1, 7, 10)]","AnneHathaway,JamesMcAvoy,JulieWalters,JamesCromwell,MaggieSmith,JoeAnderson,LucyCohu,LaurenceFox,IanRichardson,AnnaMaxwellMartin,LeoBill,JessicaAshworth,MichaelJamesFord,TomVaughanLawlor,ChrisMcHallem,HelenMcCrory,MichaelPatric,ElaineMurphy",15,"[(3, 3, 9)]",16500000,http://becomingjane-themovie.com/,tt0416508,7.829737,120,Her own life is her greatest inspiration.
3010,3,1,['US'],1,0,99,4,14,24,"[(4, 5, 15)]","TomHanks,TimAllen,JoanCusack,KelseyGrammer,DonRickles,JimVarney,WallaceShawn,JohnRatzenberger,AnniePotts,WayneKnight,JohnMorris,LaurieMetcalf,EstelleHarris,R,JodiBenson,JonathanHarris,JoeRanft,AndrewStanton,JeffPidgeon,CoreyBurton,JohnLasseter,MickieMcGowan,PhilProctor,LeeUnkrich",172,"[(131, 10, 31)]",90000000,http://toystory.disney.com/toy-story-2,tt0120363,17.547693,92,The toys are back!
